2025-04-05-03-23: using tensorboard
2025-04-05-03-27: Get lr 3e-06 from base lr 3e-06 with none
2025-04-05-03-27: {'overall': {'trainable': '472.99M', 'non_trainable': '60.49M', 'total': '533.48M'}, 'content_codec': {'trainable': '63.59M', 'non_trainable': '0', 'total': '63.59M'}, 'condition_codec': {'trainable': '0', 'non_trainable': '0', 'total': '0'}, 'transformer': {'trainable': '409.4M', 'non_trainable': '60.49M', 'total': '469.89M'}, 'first_stage_permuter': {'trainable': '0', 'non_trainable': '0', 'total': '0'}}
2025-04-05-03-27: Distributed, begin DDP the model...
2025-04-05-03-27: Distributed, DDP model done!
2025-04-05-03-27: audioset_train: global rank 0: prepare solver done!
2025-04-05-03-27: audioset_train: global rank 0: start training...
2025-04-05-03-33: audioset_train: train: Epoch 0/1000 iter 0/10055 || | loss: 40.2859 || lr_lr: 3.447e-06 || data_time: 339.0s | fbward_time: 11.7s | iter_time: 350.7s | iter_avg_time: 350.7s | epoch_time: 05m:50s | spend_time: 05m:50s | left_time: 40815d:06h:02m:02s
2025-04-05-03-36: audioset_train: train: Epoch 0/1000 iter 100/10055 || | loss: 10.9842 || lr_lr: 4.8147e-05 || data_time: 0.0s | fbward_time: 1.0s | iter_time: 1.0s | iter_avg_time: 5.0s | epoch_time: 08m:28s | spend_time: 08m:28s | left_time: 585d:18h:04m:16s
2025-04-05-03-38: audioset_train: train: Epoch 0/1000 iter 200/10055 || | loss: 36.2930 || lr_lr: 9.2847e-05 || data_time: 0.0s | fbward_time: 1.0s | iter_time: 1.0s | iter_avg_time: 3.3s | epoch_time: 11m:04s | spend_time: 11m:04s | left_time: 384d:17h:20m:01s
2025-04-05-03-41: audioset_train: train: Epoch 0/1000 iter 300/10055 || | loss: 13.7482 || lr_lr: 0.000137547 || data_time: 0.0s | fbward_time: 1.0s | iter_time: 1.0s | iter_avg_time: 2.7s | epoch_time: 13m:41s | spend_time: 13m:41s | left_time: 317d:12h:50m:53s
2025-04-05-03-44: audioset_train: train: Epoch 0/1000 iter 400/10055 || | loss: 35.7557 || lr_lr: 0.000182247 || data_time: 0.0s | fbward_time: 1.0s | iter_time: 1.0s | iter_avg_time: 2.4s | epoch_time: 16m:17s | spend_time: 16m:17s | left_time: 283d:18h:05m:26s
2025-04-05-03-46: audioset_train: train: Epoch 0/1000 iter 500/10055 || | loss: 10.3807 || lr_lr: 0.000226947 || data_time: 0.0s | fbward_time: 1.1s | iter_time: 1.1s | iter_avg_time: 2.3s | epoch_time: 18m:54s | spend_time: 18m:54s | left_time: 263d:14h:59m:26s
2025-04-05-03-49: audioset_train: train: Epoch 0/1000 iter 600/10055 || | loss: 9.4867 || lr_lr: 0.000271647 || data_time: 0.0s | fbward_time: 1.0s | iter_time: 1.0s | iter_avg_time: 2.1s | epoch_time: 21m:31s | spend_time: 21m:31s | left_time: 250d:02h:16m:47s
2025-04-05-03-52: audioset_train: train: Epoch 0/1000 iter 700/10055 || | loss: 22.0511 || lr_lr: 0.000316347 || data_time: 0.0s | fbward_time: 1.0s | iter_time: 1.0s | iter_avg_time: 2.1s | epoch_time: 24m:10s | spend_time: 24m:10s | left_time: 240d:18h:36m:55s
2025-04-05-03-54: audioset_train: train: Epoch 0/1000 iter 800/10055 || | loss: 16.2706 || lr_lr: 0.000361047 || data_time: 0.0s | fbward_time: 1.0s | iter_time: 1.0s | iter_avg_time: 2.0s | epoch_time: 26m:50s | spend_time: 26m:50s | left_time: 233d:22h:59m:49s
2025-04-05-03-57: audioset_train: train: Epoch 0/1000 iter 900/10055 || | loss: 10.0051 || lr_lr: 0.000405747 || data_time: 0.0s | fbward_time: 1.0s | iter_time: 1.0s | iter_avg_time: 2.0s | epoch_time: 29m:26s | spend_time: 29m:26s | left_time: 228d:04h:10m:00s
2025-04-05-03-59: audioset_train: train: Epoch 0/1000 iter 1000/10055 || | loss: 8.5102 || lr_lr: 0.00045 || data_time: 0.0s | fbward_time: 1.0s | iter_time: 1.0s | iter_avg_time: 1.9s | epoch_time: 32m:03s | spend_time: 32m:03s | left_time: 223d:13h:10m:07s
2025-04-05-04-02: audioset_train: train: Epoch 0/1000 iter 1100/10055 || | loss: 8.0424 || lr_lr: 0.00045 || data_time: 0.0s | fbward_time: 1.0s | iter_time: 1.0s | iter_avg_time: 1.9s | epoch_time: 34m:39s | spend_time: 34m:39s | left_time: 219d:17h:44m:21s
2025-04-05-04-05: audioset_train: train: Epoch 0/1000 iter 1200/10055 || | loss: 7.3675 || lr_lr: 0.00045 || data_time: 0.0s | fbward_time: 1.0s | iter_time: 1.0s | iter_avg_time: 1.9s | epoch_time: 37m:15s | spend_time: 37m:15s | left_time: 216d:14h:17m:33s
2025-04-05-04-07: audioset_train: train: Epoch 0/1000 iter 1300/10055 || | loss: 7.4554 || lr_lr: 0.00045 || data_time: 0.0s | fbward_time: 1.0s | iter_time: 1.0s | iter_avg_time: 1.8s | epoch_time: 39m:51s | spend_time: 39m:51s | left_time: 213d:20h:57m:53s
2025-04-05-04-10: audioset_train: train: Epoch 0/1000 iter 1400/10055 || | loss: 7.8810 || lr_lr: 0.00045 || data_time: 0.0s | fbward_time: 1.3s | iter_time: 1.3s | iter_avg_time: 1.8s | epoch_time: 42m:33s | spend_time: 42m:33s | left_time: 212d:02h:10m:01s
2025-04-05-04-13: audioset_train: train: Epoch 0/1000 iter 1500/10055 || | loss: 7.4513 || lr_lr: 0.00045 || data_time: 0.0s | fbward_time: 1.0s | iter_time: 1.0s | iter_avg_time: 1.8s | epoch_time: 45m:11s | spend_time: 45m:11s | left_time: 210d:03h:55m:45s
